,word,count
0,adieu,136790
1,audio,86267
2,stare,73133
3,slate,52362
4,raise,51976
5,crane,41337
6,arise,32094
7,train,23060
8,irate,22255
9,house,16176
10,heart,15625
11,great,15248
12,trace,12497
13,aisle,12413
14,ocean,12374
15,arose,11864
16,dream,11566
17,tears,11305
18,steam,10685
19,steal,10426
20,alien,10341
21,crate,10196
22,earth,9707
23,least,9621
24,trade,9186
25,share,9158
26,stale,9134
27,soare,8571
28,orate,7945
29,nylon,7941
30,roast,7834
31,route,7530
32,about,7311
33,place,7182
34,radio,7097
35,learn,7070
36,point,6959
37,ready,6826
38,ratio,6744
39,stear,6720
40,alone,6713
41,ideal,6568
42,stern,6178
43,store,5913
44,tread,5836
45,salet,5732
46,poise,5686
47,pious,5513
48,bread,5476
49,plate,5432
50,stair,5339
51,canoe,5284
52,later,5192
53,noise,5043
54,mouse,5028
55,piano,5022
56,adore,4966
57,sauce,4731
58,plane,4705
59,reach,4682
60,roate,4667
61,beach,4661
62,teach,4575
63,chair,4514
64,plant,4436
65,pause,4367
66,cloud,4362
67,saute,4259
68,water,4229
69,steak,4216
70,cream,4110
71,beast,4087
72,stain,4073
73,spare,3995
74,smart,3845
75,cheat,3754
76,ghost,3729
77,cause,3653
78,moist,3579
79,party,3569
80,their,3565
81,atone,3562
82,space,3450
83,brain,3396
84,trash,3366
85,clear,3358
86,rates,3350
87,peach,3315
88,trail,3306
89,chase,3293
90,stone,3231
91,paste,3201
92,plain,3179
93,trial,3100
94,break,3079
95,scare,3046
96,grace,3016
97,opera,2954
98,weary,2945
99,react,2907
100,proud,2898
101,taser,2887
102,suite,2856
103,amuse,2827
104,early,2822
105,pilot,2791
106,tired,2676
107,aside,2600
108,ideas,2577
109,paint,2546
110,horse,2520
111,sport,2483
112,penis,2482
113,clean,2481
114,smile,2450
115,story,2438
116,pound,2379
117,plead,2376
118,drain,2304
119,group,2297
120,fruit,2269
121,rainy,2267
122,spear,2257
123,light,2225
124,claim,2190
125,yeast,2183
126,louie,2179
127,power,2169
128,frame,2166
129,shout,2157
130,ouija,2156
131,faith,2139
132,sound,2131
133,quiet,2123
134,chain,2098
135,grape,2084
136,alert,2047
137,feast,2044
138,money,2033
139,table,2017
140,grate,2007
141,slant,1997
142,freak,1982
143,strap,1972
144,pride,1929
145,reads,1920
146,ariel,1894
147,think,1885
148,fairy,1849
149,grain,1839
150,death,1839
151,saint,1836
152,alive,1826
153,tales,1792
154,teary,1784
155,pearl,1768
156,storm,1767
157,daily,1760
158,flame,1711
159,fresh,1705
160,fight,1703
161,rouse,1695
162,swear,1695
163,sweat,1694
164,media,1694
165,snare,1692
166,shine,1692
167,blast,1677
168,aline,1666
169,stand,1644
170,louse,1638
171,world,1637
172,shame,1634
173,crest,1625
174,weird,1619
175,outer,1613
176,youth,1611
177,tried,1601
178,aloud,1597
179,audit,1595
180,first,1589
181,right,1588
182,dance,1573
183,round,1571
184,shape,1569
185,short,1559
186,teams,1548
187,drive,1532
188,peace,1512
189,aster,1507
190,adios,1481
191,prime,1472
192,strip,1462
193,haste,1462
194,unite,1457
195,games,1456
196,mount,1456
197,chart,1451
198,price,1430
199,pleat,1430
200,quest,1425
201,speak,1410
202,blame,1409
203,trend,1406
204,plaid,1393
205,plays,1392
206,fried,1384
207,plank,1383
208,heist,1348
209,crash,1337
210,choir,1329
211,close,1328
212,ounce,1288
213,argue,1288
214,lover,1285
215,guest,1281
216,spoil,1276
217,treat,1245
218,hoist,1237
219,score,1233
220,words,1231
221,crime,1225
222,coast,1223
223,laugh,1219
224,rents,1217
225,abide,1216
226,drink,1214
227,shirt,1214
228,beard,1208
229,rogue,1200
230,trick,1195
231,daisy,1190
232,guide,1186
233,track,1179
234,waste,1179
235,beaut,1172
236,laser,1168
237,stray,1158
238,meant,1149
239,grade,1145
240,tries,1143
241,music,1134
242,snail,1119
243,voice,1112
244,chaos,1110
245,style,1106
246,tough,1092
247,frost,1080
248,dairy,1078
249,shear,1076
250,shore,1070
251,stamp,1066
252,slice,1064
253,patio,1064
254,stead,1060
255,mound,1047
256,mouth,1046
257,heard,1043
258,agile,1032
259,write,1032
260,spout,1027
261,found,1008
262,grand,1006
263,phone,1006
264,shade,999
265,alter,995
266,juice,971
267,night,966
268,touch,963
269,those,961
270,avoid,958
271,draft,957
272,court,955
273,bound,954
274,spine,947
275,thing,945
276,charm,942
277,spark,934
278,float,930
279,worth,926
280,thank,926
